Ambiente,Participante,Tarefa,Duracao_Tarefa,Acertou_tarefa
A,usuario1,7,40119,TRUE
A,usuario1,8,45643,FALSE
A,usuario1,9,57180,FALSE
A,usuario1,10,92475,TRUE
A,usuario1,11,53609,TRUE
A,usuario1,12,44833,FALSE
A,usuario1,13,34778,TRUE
A,usuario2,1,52481,TRUE
A,usuario2,2,62110,TRUE
A,usuario2,3,109341,TRUE
A,usuario2,4,64022,TRUE
A,usuario2,5,68624,TRUE
A,usuario2,6,77975,TRUE
A,usuario2,7,59020,TRUE
A,usuario2,8,74969,TRUE
A,usuario2,9,75692,FALSE
A,usuario2,10,108869,FALSE
A,usuario2,11,71792,TRUE
A,usuario2,12,57292,TRUE
A,usuario2,13,41107,TRUE
A,usuario3,1,69322,TRUE
A,usuario3,2,139416,FALSE
A,usuario3,3,106619,TRUE
A,usuario3,4,114620,TRUE
A,usuario3,5,132792,TRUE
A,usuario3,6,116749,TRUE
A,usuario3,7,155302,TRUE
A,usuario3,8,199831,TRUE
A,usuario3,9,185728,TRUE
A,usuario3,10,117169,TRUE
A,usuario3,11,70066,TRUE
A,usuario3,12,101339,TRUE
A,usuario3,13,53907,TRUE
A,usuario4,1,109395,TRUE
A,usuario4,2,134469,TRUE
A,usuario4,3,76266,TRUE
A,usuario4,4,45572,TRUE
A,usuario4,5,83027,TRUE
A,usuario4,6,94652,TRUE
A,usuario4,7,93725,TRUE
A,usuario4,8,100680,TRUE
A,usuario4,9,82254,TRUE
A,usuario4,10,448296,TRUE
A,usuario4,11,135586,TRUE
A,usuario4,12,93034,TRUE
A,usuario4,13,46886,TRUE
A,usuario5,1,39932,TRUE
A,usuario5,2,71172,TRUE
A,usuario5,3,101929,FALSE
A,usuario5,4,49087,TRUE
A,usuario5,5,95909,FALSE
A,usuario5,6,72283,TRUE
A,usuario5,7,57068,TRUE
A,usuario5,8,106999,TRUE
A,usuario5,9,94072,FALSE
A,usuario5,10,98210,TRUE
A,usuario5,11,74755,FALSE
A,usuario5,12,59368,TRUE
A,usuario5,13,48921,TRUE
A,usuario6,1,67836,TRUE
A,usuario6,2,206527,TRUE
A,usuario6,3,86272,TRUE
A,usuario6,4,65136,TRUE
A,usuario6,5,62025,TRUE
A,usuario6,6,156236,TRUE
A,usuario6,7,105607,TRUE
A,usuario6,8,218700,FALSE
A,usuario6,9,155713,FALSE
A,usuario6,10,97291,TRUE
A,usuario6,11,147896,FALSE
A,usuario6,12,83323,TRUE
A,usuario6,13,92621,TRUE
A,usuario7,1,64904,TRUE
A,usuario7,2,84881,TRUE
A,usuario7,3,278703,TRUE
A,usuario7,4,129936,TRUE
A,usuario7,5,92540,TRUE
A,usuario7,6,306063,FALSE
A,usuario7,7,104817,TRUE
A,usuario7,8,188849,FALSE
A,usuario7,9,210232,FALSE
A,usuario7,10,580143,FALSE
A,usuario7,11,71845,TRUE
A,usuario7,12,126950,TRUE
A,usuario7,13,54042,TRUE
A,usuario8,1,62035,TRUE
A,usuario8,2,50186,TRUE
A,usuario8,3,52181,TRUE
A,usuario8,4,44168,TRUE
A,usuario8,5,71157,FALSE
A,usuario8,6,73827,FALSE
A,usuario8,7,92235,TRUE
A,usuario8,8,103483,FALSE
A,usuario8,9,65635,TRUE
A,usuario8,10,102851,TRUE
A,usuario8,11,43835,TRUE
A,usuario8,12,60561,TRUE
A,usuario8,13,30252,FALSE
A,usuario9,1,41204,TRUE
A,usuario9,2,39291,TRUE
A,usuario9,3,84033,TRUE
A,usuario9,4,42384,TRUE
A,usuario9,5,49414,TRUE
A,usuario9,6,39496,TRUE
A,usuario9,7,64813,TRUE
A,usuario9,8,66223,FALSE
A,usuario9,9,85256,FALSE
A,usuario9,10,55863,TRUE
A,usuario9,11,63153,TRUE
A,usuario9,12,55363,TRUE
A,usuario9,13,25032,TRUE
A,usuario10,1,68353,TRUE
A,usuario10,2,38613,TRUE
A,usuario10,3,65674,TRUE
A,usuario10,4,41942,TRUE
A,usuario10,5,87684,TRUE
A,usuario10,6,84167,TRUE
A,usuario10,7,39996,TRUE
A,usuario10,8,56056,TRUE
A,usuario10,9,73607,TRUE
A,usuario10,10,126128,TRUE
A,usuario10,11,51970,TRUE
A,usuario10,12,94948,TRUE
A,usuario10,13,48166,TRUE
A,usuario11,1,88306,TRUE
A,usuario11,2,133890,FALSE
A,usuario11,3,106165,TRUE
A,usuario11,4,55918,FALSE
A,usuario11,5,120563,FALSE
A,usuario11,6,82005,TRUE
A,usuario11,7,84909,TRUE
A,usuario11,8,98194,TRUE
A,usuario11,9,132358,FALSE
A,usuario11,10,159546,TRUE
A,usuario11,11,82192,TRUE
A,usuario11,12,71615,TRUE
A,usuario11,13,58996,TRUE
A,usuario12,1,36660,TRUE
A,usuario12,2,190117,TRUE
A,usuario12,3,218362,TRUE
A,usuario12,4,90578,TRUE
A,usuario12,5,106402,FALSE
